gvkey;name;factiva_name;factiva_code
1004;A A R CORP;;
1050;C E C O ENVIRONMENTAL CORP;;
1072;A V X CORP NEW;;
1075;PINNACLE WEST CAPITAL CORP;Pinnacle West Capital Corp;PCLWC
1076;AARONS INC;Aaron's Inc.;ARON
1078;ABBOTT LABORATORIES;Abbot Laboratories (Pakistan) Ltd;ABBTPK
1094;ACETO CORP;ACETO Corp;ACET
1104;ACME UNITED CORP;Acme United Corporation;ACUCO
1121;ADAMS RESOURCES & ENERGY INC;Adams Resources & Energy Inc;AE
1177;AETNA INC NEW;;
1209;AIR PRODUCTS & CHEMICALS INC;Air Products and Chemicals Inc;AIRPRO
1210;AIR T INC;Air T Inc;AIRTH
1230;ALASKA AIRGROUP INC;;
1234;ATRION CORP;;
1254;MATSON INC;Matson Inc;MATSON
1266;ALICO INC;Alico Inc;ALCO
1274;ALLEGHANY CORP DE;;
1300;HONEYWELL INTERNATIONAL INC;Honeywell International Inc;ALDCHM
1327;SKYWORKS SOLUTIONS INC;Skyworks Solutions Inc;ALPHI
1380;HESS CORP;Hess Corporation;AMDHES
1393;AMERCO;Amerco Inc;AMNV
1408;BEAM INC;Beam Suntory Inc.;AMBRI
1410;A B M INDUSTRIES INC;;
1414;PRIMERICA INC;Primerica Inc.;AMCAN
1439;U S ECOLOGY INC;;
1440;AMERICAN ELECTRIC POWER CO INC;American Electric Power Co Inc;AMELP
1447;AMERICAN EXPRESS CO;American Express Co;AMEXPR
1449;AFLAC INC;AFLAC Inc;AFL
1487;AMERICAN INTERNATIONAL GROUP INC;American International Group Inc.;AIU
1526;AMERICAN NATIONAL INS CO;;
1533;AMERICAN PACIFIC CORP;American Pacific Corp;APFC
1554;AMERICAN SCIENCE & ENGR INC;American Science and Engineering, Inc.;AMSEN
1585;AMERICAN VANGUARD CORP;American Vanguard Corporation;AMVNG
1598;AMETEK INC NEW;;
1602;AMGEN INC;Amgen Inc;AMGE
1613;AMPCO PITTSBURGH CORP;Ampco-Pittsburgh Corp;AMPCP
1618;AMREP CORP;Amrep Corp;AXR
1632;ANALOG DEVICES INC;Analog Devices Inc;ADEV
1633;ANALOGIC CORP;Analogic Corp.;ALOG
1659;ANDERSONS INC;The Andersons Inc;ANDRSO
1678;APACHE CORP;Apache Corp;APCHE
1686;APOGEE ENTERPRISES INC;Apogee Enterprises Inc;APOG
1690;APPLE INC;Apple Inc.;APPLC
1704;APPLIED MATERIALS INC;Applied Materials Inc;APLMAT
1706;ACTUANT CORP;Actuant Corporation;APLDPW
1722;ARCHER DANIELS MIDLAND CO;Archer Daniels Midland Company;ARCH
1773;ARROW ELECTRONICS INC;Arrow Electronics Inc;ARREL
1783;ARTS WAY MANUFACTURING INC;;
1794;ASHLAND INC NEW;;
1820;ASTRO MEDICAL INC NEW;;
1823;ASTRONICS CORP;Astronics Corp;ATRO
1860;ATWOOD OCEANICS INC;Atwood Oceanics Inc.;ATOC
1864;REX AMERICAN RESOURCES CORP;;
1878;AUTODESK INC;AutoDesk Inc;ATDK
1891;AUTOMATIC DATA PROCESSING INC;Automatic Data Processing Inc.;AUDAT
1906;A V HOMES INC;;
1913;AVERY DENNISON CORP;Avery Dennison Corp;AVRYI
1919;AVNET INC;Avnet Inc;AVNET
1920;AVON PRODUCTS INC;Avon Products Inc;AVNCS
1926;A Z Z INC;;
1968;BADGER METER INC;Badger Meter Inc;BMTR
1976;BAKER HUGHES INC;Baker Hughes Incorporated;BAKINT
1979;BALCHEM CORP;Balchem Corporation;BALCHM
1988;BALL CORP;Ball Corporation;BALCOR
2002;POPULAR INC;Popular Inc;BNCPOP
2005;BANK OF HAWAII CORP;Bank of Hawaii Corp;BNCHAW
2019;BANK OF NEW YORK MELLON CORP;The Bank of New York Mellon Corporation;BNYC
2044;BARD C R INC;CR Bard Inc;BARDCR
2049;BARNES GROUP INC;Barnes Group Inc;BRNES
2080;BASSETT FURNITURE INDUSTRIES INC;Bassett Furniture Industries Inc;BSETT
2086;BAXTER INTERNATIONAL INC;Baxter International Inc;BTL
2101;APPLIED INDUSTRIAL TECHS INC;;
2111;BECTON DICKINSON & CO;Becton Dickinson & Co;BEKDIK
